id,lat,long,name,city,craving,tags,addresse
3,48.8647839,2.3481741,Kodama,75002,cafe,coeur/the,"30 Rue Tiquetonne, 75002 Paris"
4,48.8655242,2.3373715,Cafe Kitsune,75001,cafe,nan,"51 Gal de Montpensier, 75001 Paris"
5,48.8646364,2.3530365,Partisan Café Artisanal,75003,cafe,coeur/torrefacteur,"36 Rue de Turbigo, 75003 Paris"
9,48.8903077,2.3553145,Lomi,75018,cafe,coeur/torrefacteur,"3 ter Rue Marcadet, 75018 Paris"
14,48.8526863,2.376747,Passager,75011,cafe,nan,"107 Av. Ledru Rollin, 75012 Paris"
17,48.8562232,2.3690393,BACK IN BLACK by KB Coffee Roasters,75011,cafe,nan,"25 Rue Amelot, 75011 Paris"
19,48.8832539,2.3742482,Belleville Brûlerie - Paris,75019,cafe,torrefacteur,"14b Rue Lally-Tollendal, 75019 Paris"
20,48.8661837,2.3363585,Télescope,75001,cafe,nan,"5 Rue Villédo, 75001 Paris"
26,48.8864335,2.3282134,La Main Noire,75018,cafe,nan,"12 Rue Cavallotti, 75018 Paris"
28,48.8908722,2.3402927,Two Doors Coffee-Shop,75018,cafe,nan,"27 Rue Francœur, 75018 Paris"
29,48.887082,2.317856,Dose Paris • Batignolles,75017,cafe,torrefacteur,"82 Place du Dr Félix Lobligeois, 75017 Paris"
30,48.8917471,2.3233068,nnie,75017,cafe,torrefacteur,"52 Rue Davy, 75017 Paris"
38,48.8543713,2.3249371,Certified café,75007,cafe,nan,"83P Rue du Bac, 75007 Paris"
40,48.8470061,2.3481962,TRAM café librairie,75005,cafe,coeur,"47 Rue de la Montagne Ste Geneviève, 75005 Paris"
43,48.8735287,2.3822625,Combat,75019,bar,nan,"63 Rue de Belleville, 75019 Paris"
45,48.854815,2.3759872,Fréquence,75011,bar,nan,"20 Rue Keller, 75011 Paris"
46,48.8627195,2.3734617,Dirty Lemon,75011,bar,nan,"24 Rue de la Folie Méricourt, 75011 Paris"
47,48.8752266,2.35072,Divine,75010,bar,nan,"61 Rue d'Hauteville, 75010 Paris"
48,48.8765783,2.339409,RAP Epicerie Fine Italienne,75009,commerce,italien,"4 Rue Flechier, 75009 Paris"
61,48.8502785,2.3237801,La Grande Épicerie de Paris - Rive Gauche,75007,commerce,epicerie/boucherie/poissonerie/primeur/vins,"38 Rue de Sèvres, 75007 Paris"
62,48.85821,2.27583,La Grande Épicerie de Paris - Rive Droite,75016,commerce,epicerie/boucherie/poissonerie/primeur/vins,"80 Rue de Passy, 75016 Paris"
63,48.8677971,2.3479177,Boucherie Terroir d'Avenir - Nil,75002,commerce,boucherie,"6 rue du Nil, 75002 Paris"
64,48.8677916,2.3480934,Boulangerie Terroir d'Avenir - Nil,75002,commerce,boulangerie/patisserie,"3 rue du Nil, 75002 Paris"
65,48.8677586,2.3477776,Crèmerie Terroir d'Avenir - Nil,75002,commerce,cremerie,"8 rue du Nil, 75002 Paris"
66,48.867715,2.3478156,Primeur Terroir d'Avenir - Nil,75002,commerce,epicerie/primeur/coeur,"7 rue du Nil, 75002 Paris"
67,48.8677586,2.3477776,Poissonerie Terroir d'Avenir - Nil,75002,commerce,poissonerie,"8 rue du Nil, 75002 Paris"
68,48.8510013,2.3845033,Boucherie Terroir d'Avenir - Paul Bert,75011,commerce,boucherie,"2 rue Paul Bert, 75011 Paris"
69,48.8514795,2.3846453,Boulangerie Terroir d'Avenir - Paul Bert,75011,commerce,boulangerie/patisserie,"8 rue Paul Bert, 75011 Paris"
70,48.8514003,2.3844562,Primeur Terroir d'Avenir - Paul Bert,75011,commerce,epicerie/primeur/cremerie,"5 rue Paul Bert, 75011 Paris"
71,48.8674636,2.3767858,Boucherie Terroir d'Avenir - Jean-Pierre Timbaud,75011,commerce,boucherie,"84 rue Jean-Pierre Timbaud, 75011 Paris"
72,48.8681072,2.378476,Primeur Terroir d'Avenir - Jean-Pierre Timbaud,75011,commerce,epicerie/primeur/cremerie,"85 rue Jean-Pierre Timbaud, 75011 Paris"
73,48.8586702,2.4382012,Primeur Terroir d'Avenir - Montreuil,93100,commerce,epicerie/primeur/cremerie,"9 rue du Capitaine Dreyfus, 93100 Montreuil"
74,48.8799307,2.2916166,Umami Matcha Café To Go,75017,cafe,the/epicierie/japonais,"5 Rue Pierre Demours, 75017 Paris"
75,48.8665548,2.3636103,Umami Matcha Café,75003,cafe,coeur/the/epicierie/japonais,"22 Rue Béranger, 75003 Paris"
77,48.8596084,2.3673302,Maison Plisson - BEAUMARCHAIS,75003,commerce,epicerie,"93 Boulevard Beaumarchais, 75003 Paris"
83,48.867575,2.3360435,Epices Roellinger Paris,75002,commerce,coeur/epice,"51 bis Rue Sainte-Anne, 75002 Paris"
85,48.8576963,2.3055815,Lastre Sans Apostrophe,75007,commerce,boucherie,"188 Rue de Grenelle, 75007 Paris"
86,48.8547591,2.3618865,Fromagerie Laurent Dubois Bastille,75004,commerce,cremerie,"97-99 Rue Saint-Antoine, 75004"
92,48.8909286,2.3516656,La Laiterie de Paris,75018,commerce,coeur/cremerie,"74 Rue des Poissonniers, 75018 Paris"
96,48.8468796,2.32715,Maison Vérot - Paris 6,75006,commerce,boucherie,"3 rue Notre-Dame des Champs, 75006 Paris"
97,48.8630156,2.3625783,Maison Vérot - Paris 3,75003,commerce,boucherie,"38 rue de Bretagne, 75003 Paris"
99,48.87364585,2.332127080456852,Maison Vérot - Paris 9 (Galeries Lafayette),75009,commerce,boucherie,"40 boulevard Haussmann, 75009 Paris"
108,48.8687923,2.3860475,Creme,75020,commerce,cremerie/vins,"6 Rue Julien Lacroix, 75020 Paris"
109,48.8569275,2.3010287,Arnaud Nicolas - Bourdonnais,75007,commerce,boucherie,"46 Av. de la Bourdonnais, 75007 Paris"
110,48.8899137,2.341971,Arnaud Nicolas - Caulaincourt,75018,commerce,boucherie,"125 Rue Caulaincourt, 75018 Paris"
